original_folder,display_name_cleaned,standard_chain,standard_segment,main_company_count_original,source_files,original_fields_available,original_node_samples
半导体产业链企查查,半导体,半导体与集成电路产业链,半导体,8999,半导体产业链企查查/半导体产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、CMP抛光材料、CMP设备、EDA软件、传感器、光刻掩膜版、光刻机、光刻胶、光通信器件、刻蚀设备
半导体材料产业链企查查,半导体材料,半导体与集成电路产业链,半导体材料,1619,半导体材料产业链企查查/半导体材料.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,MO源、光刻掩膜版、光刻胶、光刻胶专用化学品、其他半导体制造材料、其他半导体基体材料、化学机械抛光液、半导体切割材料、半导体测试探针、半导体硅材料
半导体设备产业链企查查,半导体设备,半导体与集成电路产业链,半导体设备,719,半导体设备产业链企查查/半导体设备产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,CMP设备、IC切筋成型机、LED固晶机、光刻机、其他半导体制造设备、其他半导体封测设备、其他半导体材料生产设备、刻蚀设备、半导体塑封机、半导体尾气处理设备
集成电路产业链企查查,集成电路,半导体与集成电路产业链,集成电路,23010,集成电路产业链企查查/集成电路产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、CMP设备、EDA软件(电子设计自动化)、IC切筋成型机、光刻掩膜版、光刻机、光刻胶、光刻胶专用化学品、刻蚀设备、化学机械抛光液
公用事业产业链企查查,公用事业,基础设施与城市建设产业链,公用事业,49008,公用事业产业链企查查/公用事业.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,天然气工程、太阳能发电、太阳能发电工程、工业污水治理服务、工业用水、水利工程、水力发电、水电工程、液化天然气供应、火力发电
基础设施建设产业链企查查,基础设施建设,基础设施与城市建设产业链,基础设施建设,160221,基础设施建设产业链企查查/基础设施建设.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,公路工程、压实机械、园林养护工程、园林工程设计、城市公交、城市轨道交通工程、太阳能发电工程、工程勘察服务、工程咨询服务、工程监理服务
房地产产业链企查查,房地产,基础设施与城市建设产业链,房地产,130142,房地产产业链企查查/房地产产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,产业地产开发、产业地产租赁、住宅建筑、住宅建筑装饰装修、公共建筑装饰装修、公共租赁房租赁、其他保障房开发、其他建筑材料、冰洗家电、办公建筑
大数据产业链企查查,大数据,数据要素与数字经济产业链,大数据,370029,大数据产业链企查查/大数据产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、RFID读卡器、中间件软件、云存储服务、云资源管理平台、交通大数据、企业大数据、企业级物联网平台、传感器、农业大数据
数字经济产业链企查查,数字经济,数据要素与数字经济产业链,数字经济,89604,数字经济产业链企查查/数字经济产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、5G网络、云计算服务、人工智能、人工智能算法软件、人工智能芯片、光纤网络建设服务、农业数字化、办公数字化、区块链
数据创意,数据创意,数据要素与数字经济产业链,数据创意,28797,数据创意/数据创意产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、通信地址、邮箱,
数据服务,数据服务,数据要素与数字经济产业链,数据服务,29951,数据服务/数据服务产业链汇总.xlsx,"-、13548786168、140万人民币、17775782939、2000万人民币、2018-02-02、2018-02-02 至 2068-02-01、2022-12-30、2023、25、430194000053935、91430100MA4PD37P5G、Hunan Zhongguang Huizhi Information Technology Co., Ltd、ID、MA4PD37P-5、http://www.idcode.cloud、一级分类、三级分类、二级分类、五级分类、信息传输、软件和信息技术服务业、公司名称、六级分离、其他信息技术服务业、四级分类、存续、小型、有限责任公司(自然人投资或控股)、湖南中广汇智信息技术有限公司、湖南省、电子产品、家用电器、文具用品的零售；工业自动化设备、智能化技术、五金机电产品的研发；广告制作服务、国内代理服务；监控设备、计算机辅助设备、计算机硬件、日用品、计算机软件的销售；电子商务平台的开发建设；信息系统集成服务；软件开发；贸易咨询服务；市场调研服务；展览服务；机器人开发；广告设计；企业管理战略策划；企业管理咨询服务；计算机技术开发、技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）、袁跃、软件和信息技术服务业、长沙市、长沙经济技术开发区开元东路以北、东六线以东华润置地广场一期12幢1201（集群注册）、长沙经济技术开发区螺丝塘路1号、3号德普五和企业园5栋B座402室",
数据要素产业链企查查,数据要素,数据要素与数字经济产业链,数据要素,53946,数据要素产业链企查查/数据要素产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,AI大模型、CPU、DPU、FPGA、GPU、个人隐私保护、中间件软件、互联网数据中心(IDC)、交通大数据、企业大数据
5G产业链企查查,5G,新一代信息基础设施产业链,5G通信,34341,5G产业链企查查/5G产业链.xlsx,"-、010-67817300 ; 010-67817621 ; 010-67668211、010-67817421、10000万人民币、110000009884021、2001-11-01、2001-11-01 至 无固定期限、2023、2024-10-21、235、71092899-7、91110302710928997Y、China Telecom Construction Co.,Ltd.、ID、zgtjgfgw.zgtj@chinaccs.cn、ztjsgfgw@citcc.cn;ztsgfgw.@citcc.cn;ztjgfgw@citcc.cn、一级分类、七级分类、三级分类、中通建设股份有限公司、二级分类、五级分类、产业位置、产业关联性、产业链节点、八级分类、公司名称、六级分类、其他土木工程建筑、其他股份有限公司(非上市)、北京市、北京市北京经济技术开发区景园北街2号内15号楼、北京市经济技术开发区景园北街2号内15号楼、四级分类、土木工程建筑业、增值税一般纳税人、大兴区、存续、官方网址：https://zldatas.com、建筑业、王睿峰、融资上市、许可项目：建设工程施工；建筑劳务分包；广播电视节目传送；建设工程勘察；建设工程设计；基础电信业务；网络文化经营；互联网信息服务；第一类增值电信业务；第二类增值电信业务；建筑智能化系统设计；住宅室内装饰装修；电气安装服务；营业性演出。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工业控制计算机及系统销售；会议及展览服务；组织文化艺术交流活动；计算机系统服务；信息技术咨询服务；信息系统集成服务；信息系统运行维护服务；工程管理服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；五金产品零售；五金产品批发；通讯设备销售；电线、电缆经营；机械设备销售；技术玻璃制品销售；日用玻璃制品销售；玻璃纤维及制品销售；电力设施器材销售；塑料制品销售；橡胶制品销售；机械设备租赁；货物进出口；技术进出口；进出口代理；软件开发；数据处理服务；普通机械设备安装服务；通用设备修理；专用设备修理；通讯设备修理；城市绿化管理；物业管理；园林绿化工程施工；商务代理代办服务；采购代理服务；销售代理；广告设计、代理；招投标代理服务；工程造价咨询业务；对外承包工程；消防技术服务；市政设施管理；新兴能源技术研发；太阳能发电技术服务；光伏设备及元器件销售；建筑材料销售；建筑装饰材料销售；光伏设备及元器件制造；充电桩销售；充电控制设备租赁；办公用品销售；小微型客车租赁经营服务；教学专用仪器销售；教学用模型及教具销售；文具用品批发；承接档案服务外包；其他文化艺术经纪代理；消防器材销售；汽车装饰用品销售；汽车零配件零售；人力资源服务（不含职业中介活动、劳务派遣服务）；矿山机械销售；矿山机械制造；通信设备制造；通信设备销售；机械设备研发；电子产品销售；电子（气）物理设备及其他电子设备制造；网络设备制造；网络设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）",-、SDN/NFV、VR/AR设备、光模块、光纤光缆、光通信器件、可穿戴电子设备、基站天线、射频元器件、无人机系统
IDC产业链企查查,IDC,新一代信息基础设施产业链,IDC数据中心,27809,IDC产业链企查查/IDC产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、CPU芯片、IDC服务、IaaS云服务、PaaS云服务、SaaS云服务、不间断电源、交换机、光模块、其他云计算服务
云计算产业链企查查,云计算,新一代信息基础设施产业链,云计算,4781,云计算产业链企查查/云计算产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、CPU芯片、GPU(图形处理器)、IDC服务、IaaS云服务、PaaS云服务、SaaS云服务、云存储服务、交换机、光模块
光通信,光通信,新一代信息基础设施产业链,光通信,16276,光通信/光通信产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、营业期限、资质、通信地址、邮箱,
服务器,服务器,新一代信息基础设施产业链,服务器,2167,服务器/服务器产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、营业期限、资质、通信地址、邮箱,
网络通讯,网络通讯,新一代信息基础设施产业链,网络通信,20111,网络通讯/网络通讯产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、通信地址、邮箱,
边缘计算,边缘计算,新一代信息基础设施产业链,边缘计算,7474,边缘计算/边缘计算产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、营业期限、资质、通信地址、邮箱,
新型显示,新型显示,新型显示与虚拟现实产业链,新型显示,1174,新型显示/新型显示产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、通信地址、邮箱,
显示屏产业链企查查,显示屏,新型显示与虚拟现实产业链,显示屏,10634,显示屏产业链企查查/显示屏产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,LCD驱动芯片、LED外延片、LED显示器、LED显示屏、LED模组、LED芯片、LED衬底、MO源、Micro LED显示屏、Micro LED显示面板
虚拟现实VR,虚拟现实VR,新型显示与虚拟现实产业链,虚拟现实VR,11748,虚拟现实VR/虚拟现实VR产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、营业期限、资质、通信地址、邮箱,
新材料产业链企查查,新材料,新材料产业链,新材料,41848,新材料产业链企查查/新材料产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、不锈钢铝合金、新型高强塑汽车钢加工、炼铁、硬质合金及制品、稀土储氢材料、稀土催化剂、稀土磁性材料、稀有稀土金属矿、稀有金属材料
储能类,储能,新能源与电力装备产业链,储能,8054,储能类/储能产业链汇总匹配版.xlsx,ID、一级分类、三级分类、二级分类、五级分类、企业规模、公司、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、联系电话、英文名、营业期限、通信地址、邮箱,
