institution_code,province,institution_name,official_domain,aliases
SXFTC,山西,山西省财政税务专科学校,https://www.sxftc.edu.cn,山西财专|山西财政税务专科学校|财专
SXGC,山西,山西工程职业学院,https://www.sxgcxy.cn,山西工程职院|山工院|山西工程
SXSY,山西,山西水利职业技术学院,https://www.sxsy.com.cn,山西水利职院|山西水院|山西水利
LNMEC,辽宁,辽宁机电职业技术学院,https://www.lnmec.edu.cn,辽宁机电职院|辽机电|辽宁机电
SYVTC,辽宁,沈阳职业技术学院,https://www.vtcsy.edu.cn,沈阳职院|沈职院|沈职
DLVTC,辽宁,大连职业技术学院,https://www.dlvtc.edu.cn,大连职院|大职院|大连职业大学
LNNZY,辽宁,辽宁农业职业技术学院,https://www.lnnzy.ln.cn,辽宁农职院|辽农职院|辽宁农业职院
LNPC,辽宁,辽宁石化职业技术学院,https://www.lnpc.edu.cn,辽宁石化职院|辽石化|辽宁石化职业学院
LNGPI,辽宁,辽宁轨道交通职业学院,https://www.lngpi.edu.cn,辽宁轨道职院|辽轨职院|辽轨职
CAII,吉林,长春汽车职业技术大学,https://www.caii.edu.cn,长春汽车职大|长汽职大|长汽高专|长春汽车工业高等专科学校
CVIT,吉林,长春职业技术大学,https://www.cvit.edu.cn,长春职大|长春职院|长春职业技术学院
JTY,吉林,吉林铁道职业技术大学,https://www.jty.edu.cn,吉林铁道职大|吉铁职大|吉林铁道职业技术学院|吉铁院
JLJY,吉林,吉林交通职业技术学院,https://www.jljy.edu.cn,吉林交通职院|吉林交职院|吉交职院
JVCIT,吉林,吉林工业职业技术学院,https://www.jvcit.edu.cn,吉林工业职院|吉林工职院|吉工职院
HRBZY,黑龙江,哈尔滨职业技术大学,https://www.hrbzy.edu.cn,哈职大|哈尔滨职大|哈尔滨职业技术学院
HNYJJ,黑龙江,黑龙江农业经济职业学院,https://www.hnyjj.org.cn,黑农经职院|黑龙江农经职院|农经职院
HLJP,黑龙江,黑龙江职业学院,https://www.hljp.edu.cn,黑职院|龙江职院
HICT,黑龙江,黑龙江建筑职业技术学院,https://www.hict.org.cn,哈尔滨建筑科技职业大学|龙建院|黑建职院
HNGZY,黑龙江,黑龙江农业工程职业学院,https://www.hngzy.edu.cn,黑龙江农业工程职业技术大学|黑农工|农工职院
HTXY,黑龙江,哈尔滨铁道职业技术学院,https://www.htxy.net,哈铁职院|哈铁学院
STIEI,上海,上海电子信息职业技术学院,https://www.stiei.edu.cn,上海电子信息职院|上海电子信息学院|上海电信职院
SADA,上海,上海工艺美术职业学院,https://www.sada.edu.cn,上海工艺美院|上工美|上海工艺美术学院
SPPC,上海,上海出版印刷高等专科学校,https://www.sppc.edu.cn,上海版专|版专|上海出版印刷高专
AHCME,安徽,安徽机电职业技术学院,https://www.ahcme.edu.cn,安徽机电|安机电|安徽应用技术职业大学
ABC,安徽,安徽商贸职业技术学院,https://www.abc.edu.cn,安徽商贸|安商|安徽应用技术职业大学
AHSDXY,安徽,安徽水利水电职业技术学院,https://www.ahsdxy.edu.cn,安徽水院|安水院|安徽水利水电职院
HFVT,安徽,合肥职业技术学院,https://www.htc.edu.cn,合肥职院|合职院|合肥职业技术大学
WHIT,安徽,芜湖职业技术学院,https://www.whit.edu.cn,芜湖职业技术大学|芜湖职院|芜职|芜职大
HBVTC,安徽,淮北职业技术学院,https://www.hbvtc.net,淮北职院|淮职
FYVTC,安徽,阜阳职业技术学院,https://www.fyvtc.edu.cn,阜阳职院|阜职
FJCPC,福建,福建船政交通职业学院,https://www.fjcpc.edu.cn,福建船政交通职院|船政交通学院|船政职院
LMU,福建,黎明职业大学,https://www.lmu.edu.cn,黎明职业学院|黎大
FJPIT,福建,福建信息职业技术学院,https://www.fjpit.edu.cn,福建信息职院|福信
QVTU,福建,泉州职业技术大学,https://www.qvtu.edu.cn,泉州职业大学|泉大
FJZZIT,福建,漳州职业技术学院,https://www.fjzzit.edu.cn,漳州职院|漳职院|漳职
FVTI,福建,福州职业技术学院,https://www.fvti.cn,福州职院|福职院|福职
JXPU,江西,江西职业技术大学,https://www.jxpu.edu.cn,江西职大|九江职业技术学院|九江职院
JXCFS,江西,江西外语外贸职业学院,https://www.jxcfs.com,江西外语外贸职业大学|江外院|江外大
JXYT,江西,江西应用技术职业学院,https://www.jxyy.edu.cn,江西应职院|应职院
JXGM,江西,江西工业贸易职业技术学院,https://www.jxgmxy.com,江西工贸职院|江西工贸
JXHJ,江西,江西环境工程职业学院,https://www.jxhjxy.com,江西环境职院|江西环院
JXXD,江西,江西现代职业技术学院,https://www.jxxdxy.edu.cn,江西现代职院|现代学院
YRCTI,河南,黄河水利职业技术大学,https://www.yrcti.edu.cn,黄河水利职业技术学院|黄河水院|黄职院
ZZRVTC,河南,郑州铁路职业技术大学,https://www.zzrvtc.edu.cn,郑州铁路职业技术学院|郑州铁院|郑铁院
XCITC,河南,许昌职业技术学院,https://www.xcitc.edu.cn,许昌职院|许职院
HNCA,河南,河南农业职业学院,https://www.hnca.edu.cn,河南农职院|河南农职|河南农业职院
HNETC,河南,河南经贸职业学院,https://www.henetc.edu.cn,河南经贸职院|河南经贸
WTU,湖北,武汉职业技术大学,https://www.wtc.edu.cn,武汉职业技术学院|武汉职院|武职大|武职
WSPC,湖北,武汉船舶职业技术学院,https://www.wspc.edu.cn,武汉船院|武船院
XYVTC,湖北,襄阳职业技术大学,https://www.hbxytc.cn,襄阳职业技术学院|襄阳职院|襄职
WHVCSE,湖北,武汉软件工程职业学院,https://www.whvcse.edu.cn,武汉开放大学|武软|武汉软件工程职院
HBTGPT,湖北,湖北三峡职业技术大学,https://www.tgc.edu.cn,湖北三峡职业技术学院|三峡职院|三峡职业技术大学
WHCP,湖北,武汉城市职业学院,https://www.whcp.edu.cn,武汉城职|武城院|武汉城市职院
WRU,湖北,武汉铁路职业技术学院,https://www.wru.edu.cn,武汉铁院|武铁职院|武铁
WHTCC,湖北,武汉交通职业学院,https://www.whtcc.edu.cn,武交院|武汉交通职院
HBPI,湖北,湖北职业技术学院,https://www.hbvtc.edu.cn,湖北职院|湖职|Hubei Polytechnic Institute
CSMZ,湖南,长沙民政职业技术学院,https://www.csmzxy.edu.cn,长沙民政职院|长沙民院|民院|Changsha Social Work College
HNAE,湖南,湖南汽车工程职业大学,https://hnae.edu.cn,湖南汽车工程职业学院|湖汽职院|湖汽|Hunan Automotive Engineering Vocational University
