group_id,institution_code,project_type,group_name,group_evidence_url,verification_status
ZJBC-530701,ZJBC,high_level_group,电子商务专业群,https://www.zjbc.edu.cn/dit/113/listm2.htm,verified
WZVCST-490102,WZVCST,high_level_group,绿色食品生产技术专业群,https://zs.wzvcst.edu.cn/danye/31.shtml,verified
ZJIET-530701,ZJIET,high_level_group,电子商务专业群,https://www.zjiet.edu.cn/114/,verified
TCZJ-540106,TCZJ,high_level_group,酒店管理与数字化运营专业群,https://www.tourzj.edu.cn/__local/5/AB/06/B1086FBAA0E07B5B129BB039D94_7B7AC328_4948E8.pdf,verified
ZJVTIT-500201,ZJVTIT,high_level_group,道路与桥梁工程技术（智慧交通新基建）专业群,https://www.zjvtit.edu.cn/info/1003/22350.htm,verified
ZJJS-440304,ZJJS,high_level_group,智能建造技术专业群,https://www.zjjs.edu.cn/_img/2026/01/09/20260109194527974.pdf,verified
YWICC-530501,YWICC,high_level_group,国际经济与贸易专业群,https://www.ywicc.edu.cn/info/1015/23092.htm,verified
SICT-530805,SICT,high_level_school,冷链物流技术与管理专业群,https://jnedu.jinan.gov.cn/col/col83009/art/2026/art_6b324883d29c49a4bd9da9ccd1bb5fea.html,verified
SICT-510205,SICT,high_level_school,大数据技术专业群,https://sd.sina.cn/news/2026-06-28/detail-inieykzq0412984.d.html,manual_review_required
ZBPU-460104,ZBPU,high_level_school,机械制造及自动化专业群,https://www.zbpu.edu.cn/info/1114/16339.htm,verified
ZBPU-270201,ZBPU,high_level_school,应用化工技术专业群,https://www.zbpu.edu.cn/info/1114/16339.htm,verified
BZPT-460104,BZPT,high_level_school,机械制造及自动化专业群,https://xxgk.bzpt.edu.cn/info/1401/7267.htm,verified
BZPT-470201,BZPT,high_level_school,应用化工技术专业群,https://xxgk.bzpt.edu.cn/info/1401/7267.htm,verified
RZPT-410401,RZPT,high_level_school,水产养殖技术专业群,https://www.rzpt.cn/xxgk/xxjj.htm,verified
RZPT-430401,RZPT,high_level_school,钢铁智能冶金技术专业群,https://www.rzpt.cn/xxgk/xxjj.htm,verified
SDP-500602,SDP,high_level_school,城市轨道车辆应用技术专业群,https://www.sdp.edu.cn/xwzx/info/1011/55397.htm,verified
SDP-460104,SDP,high_level_school,机械制造及自动化专业群,https://www.sdp.edu.cn/xwzx/info/1011/55397.htm,verified
JNVC-460101,JNVC,high_level_group,机械设计与制造专业群,https://qsy.jinan.gov.cn/cms_files/filemanager/1197472542/attach/20262/38d255783f0f425784c1aecd6299d564.pdf?fileName=%E6%B5%8E%E5%8D%97%E8%81%8C%E4%B8%9A%E5%AD%A6%E9%99%A2%E9%AB%98%E7%AD%89%E8%81%8C%E4%B8%9A%E6%95%99%E8%82%B2%E8%B4%A8%E9%87%8F%E6%8A%A5%E5%91%8A%EF%BC%882025%E5%B9%B4%E5%BA%A6%EF%BC%89.pdf,verified
SDVCST-480402,SDVCST,high_level_group,服装设计与工艺专业群,https://www.sdvcst.edu.cn/xxgk/xxjj.htm,verified
DYXY-470204,DYXY,high_level_group,石油化工技术专业群,https://www.dyxy.edu.cn/index.php/cms/item-view-id-12511.shtml,verified
YTVC-460113,YTVC,high_level_group,模具设计与制造专业群,https://www.yantai.gov.cn/cms_files/jcms1/web1/site/attach/0/ce69981d406741fca4da2124976b661a.pdf,verified
WFVC-410103,WFVC,high_level_group,现代农业技术专业群,https://www.sdwfvc.edu.cn/info/1813/283053.htm,verified
WHVC-460501,WHVC,high_level_group,船舶工程技术专业群,https://www.whvc.edu.cn/xxgk/2026/0104/c7804a132982/page.htm,verified
SDMY-410303,SDMY,high_level_group,畜牧兽医专业群,https://www.sdmy.edu.cn/info/1024/14459.htm,verified
JNVTC-460301,JNVTC,high_level_group,机电一体化技术专业群,https://jnzyjsxy.cn/tsjx/tsppzy1.htm,verified
WFEC-410204,WFEC,high_level_group,花卉生产与花艺专业群,https://www.wfec.edu.cn/info/1023/49831.htm,verified
QDGW-500301,QDGW,high_level_group,航海技术专业群,https://www.qdgw.edu.cn/info/1501/127091.htm,verified
QDGW-500306,QDGW,high_level_group,港口机械与智能控制专业群,https://www.qdgw.edu.cn/info/1501/127091.htm,verified
LWVC-550404,LWVC,high_level_group,文物修复与保护专业群,https://www.lwvc.edu.cn/__local/8/69/2C/4694FBB40ABF0B32C6442657E54_74AA99F0_BD47CC.pdf,verified
SZPU-310101,SZPU,high_level_school,电子信息工程技术专业群,https://pingshen.szpu.edu.cn/__local/C/39/19/25ABE6D5498D5CC25FCADC560AC_E4014B81_52AF2D.pdf,verified
SZPU-260702,SZPU,high_level_school,新能源汽车工程技术专业群,https://pingshen.szpu.edu.cn/__local/B/AB/0B/A57C932CE3CF46565FC1521E9B1_098D9DE5_4FFD75.pdf,verified
GZPU-510205,GZPU,high_level_school,大数据技术专业群,https://www.gzhpu.edu.cn/Upload/gzj/ContentManage/Article/File/2026/01/06/202601061553304561.pdf,verified
GZPU-460701,GZPU,high_level_school,汽车制造与试验技术专业群,https://www.gzhpu.edu.cn/Upload/gzj/ContentManage/Article/File/2026/01/06/202601061553304561.pdf,verified
SDPT-460305,SDPT,high_level_school,工业机器人技术专业群,https://www.sdpt.edu.cn/__local/1/49/97/15ED5FC03977028C2CD02179226_1B9A19DE_CEAC50.pdf,verified
SDPT-460205,SDPT,high_level_school,制冷与空调技术专业群,https://www.sdpt.edu.cn/__local/1/49/97/15ED5FC03977028C2CD02179226_1B9A19DE_CEAC50.pdf,verified
SZIIT-510401,SZIIT,high_level_school,集成电路技术专业群,https://sgspzyq.suit-sz.edu.cn/virtual_attach_file.vsb?afc=5MmlC4LNUan7M2nQmCbnmCDLl-PU4Vq7nlnkM7VRnmGiLzC0gihFp2hmCIa0USy8nSyPn1y8nl-sMR9bnmTfM8QkLRvanlnRL4lsnmWRMNnFM8-4L4U4MNQFolrkM7UJv2nto4OeosMjvsfE_570qIbtpYyPLmNYg47PMR7Jqdpnx&e=.pdf&nid=1141&tid=1292,verified
SZIIT-510214,SZIIT,high_level_school,工业软件开发技术专业群,https://sgspzyq.suit-sz.edu.cn/virtual_attach_file.vsb?afc=7MzLV8nR-ZLRn2L2N7iL4n7nR-iMzNdZolUPM7lPU4v8Um70gihFp2hmCIa0Lkh2UYyYU1yZMmr2U8Q7o7-4M4GZUNQRMNlDol74nRGZnmVFMzl4LRr7nzWFLz78M8VVgjfNQmOeo4x4QsMa_jTPgDTJQty0Lz-boSyPLm7bgtA8pU-cc&e=.pdf&nid=1219&tid=1299,verified
GDIPU-460301,GDIPU,high_level_school,机电一体化技术专业群,https://www.gdipu.edu.cn/info/1057/27213.htm,verified
GDIPU-470104,GDIPU,high_level_school,化工生物技术专业群,https://www.gdipu.edu.cn/info/1057/27213.htm,verified
GTXY-500606,GTXY,high_level_group,城市轨道交通运营管理专业群,https://yurenhao.sizhengwang.cn/a/gztlzyjsxyjdgcxyjxgcdzb/260205/2332303.shtml,verified
GDAIB-410102,GDAIB,high_level_group,作物生产与经营管理专业群,https://edu.ycwb.com/2026-05/23/content_54135229.htm,verified
GDIT-510203,GDIT,high_level_group,软件技术专业群,https://www.gdit.edu.cn/2026/0107/c6705a118054/page.htm,verified
GDSDXY-450205,GDSDXY,high_level_group,水利水电建筑工程专业群,https://www.eol.cn/guangdong/gdgd/202606/t20260617_2746035.shtml,verified
GDGM-460306,GDGM,high_level_group,电气自动化技术专业群,https://www.gdgm.edu.cn/2026/0106/c4157a63401/page.htm,verified
GDPT-480401,GDPT,high_level_group,现代纺织技术专业群,https://www.gdpt.edu.cn/a_1/18881,verified
GDMEC-510103,GDMEC,high_level_group,应用电子技术专业群,https://www.gdmec.edu.cn/info/1055/148123.htm,verified
DGPT-460201,DGPT,high_level_group,智能装备制造技术专业群,https://www.dgpt.edu.cn/info/1002/15550.htm,verified
GDFD-490203,GDFD,high_level_group,药物制剂技术专业群,https://cggl.gdyzy.edu.cn/portalwebController.do?goArticleDetail=&id=52a7eb099a38de8f019a48e2f7e306bc,verified
ZSTP-460115,ZSTP,high_level_group,智能光电制造技术专业群,https://www.zstp.edu.cn/info/1043/92211.htm,verified
GCAC-500409,GCAC,high_level_group,飞机机电设备维修专业群,https://apps.gcac.edu.cn/zl/2025jcjs/%E7%94%B3%E6%8A%A5%E6%9D%90%E6%96%99/%E5%B9%BF%E4%B8%9C%E7%9C%81%E6%95%99%E8%82%B2%E5%8E%85%E7%94%B3%E6%8A%A5%E4%B8%93%E6%A0%8F/4.%E9%80%9A%E7%94%A8%E8%88%AA%E7%A9%BA%E5%99%A8%E7%BB%93%E6%9E%84%E4%B8%8E%E4%BF%AE%E7%90%86/1.%E7%94%B3%E6%8A%A5%E8%A1%A8/%E9%80%9A%E7%94%A8%E8%88%AA%E7%A9%BA%E5%99%A8%E7%BB%93%E6%9E%84%E4%B8%8E%E4%BF%AE%E7%90%86-%E5%85%A8%E5%9B%BD%E4%BC%98%E7%A7%80%E6%95%99%E6%9D%90%EF%BC%88%E8%81%8C%E6%95%99%E4%B8%8E%E7%BB%A7%E6%95%99%E7%B1%BB%EF%BC%89%E7%94%B3%E6%8A%A5%E6%8E%A8%E8%8D%90%E8%AF%84%E5%AE%A1%E8%A1%A8%20.pdf,verified
SXFTC-530302,SXFTC,high_level_group,大数据与会计专业群,https://www.sxftc.edu.cn/__local/7/58/C3/42ADC232063CB5B84384BD3D0D0_1DF8446F_C89200.pdf,verified
SXFTC-530605,SXFTC,high_level_group,市场营销专业群,https://www.sxftc.edu.cn/__local/7/58/C3/42ADC232063CB5B84384BD3D0D0_1DF8446F_C89200.pdf,verified
SXGC-420501,SXGC,high_level_group,煤矿智能开采技术专业群,https://www.lfvtc.cn/__local/E/88/2C/F7CCAFD7FA858CA28C49544D96E_A6AA9FA6_2970BF.pdf,verified
SXSY-450204,SXSY,high_level_group,水利水电工程智能管理专业群,https://www.lfvtc.cn/__local/E/88/2C/F7CCAFD7FA858CA28C49544D96E_A6AA9FA6_2970BF.pdf,verified
LNMEC-460301,LNMEC,high_level_school,机电一体化技术专业群,https://www.ln.gov.cn/web/zwgkx/sjjhczbg/czys/bmys/202590/zfbm/2026020409325541508/2026021212064151246.pdf,verified
LNMEC-510401,LNMEC,high_level_school,集成电路技术专业群,https://www.ln.gov.cn/web/zwgkx/sjjhczbg/czys/bmys/202590/zfbm/2026020409325541508/2026021212064151246.pdf,verified
SYVTC-460306,SYVTC,high_level_group,电气自动化技术专业群,https://www.vtcsy.com/__local/8/C3/B2/D1FB7CD99C481D5CE929CBB764A_B254F851_955279.pdf,verified
DLVTC-460201,DLVTC,high_level_group,智能制造装备技术专业群,https://fmet.dlvtc.edu.cn/web/guest/detail?articleId=FB7F8A54-28D5-BB4F-9F0B-47EFD632814C,verified
LNNZY-410102,LNNZY,high_level_group,作物生产与经营管理专业群,https://www.lnnzy.ln.cn/news/detail/19833.html,verified
LNPC-470203,LNPC,high_level_group,精细化工技术专业群,https://www.lnpc.edu.cn/_t18/183/listm.psp,verified
LNGPI-500105,LNGPI,high_level_group,铁道机车运用与维护专业群,https://www.lngpi.edu.cn/info/1402/100752.htm,verified
CAII-460305,CAII,high_level_school,汽车智能制造专业群,https://m.thepaper.cn/newsDetail_forward_33290457,verified
CAII-460702,CAII,high_level_school,新能源汽车技术专业群,https://www.xinhuanet.com/edu/20251210/df80c1117e0745c3b166b8b605d313a2/c.html,verified
CVIT-260102,CVIT,high_level_group,智能制造工程技术专业群,https://www.cvit.edu.cn/info/1244/3253.htm,verified
JTY-500109,JTY,high_level_group,高速铁路综合维修技术专业群,https://yfzx.jty.edu.cn/__local/C/6F/B6/7D6A87B055EEDBBF3EE43B71575_D68DA2DC_99792B.pdf,verified
JLJY-460201,JLJY,high_level_group,智能制造装备技术专业群,https://www.zgjtb.com/m/2026-01/29/content_504909.html,verified
JVCIT-460104,JVCIT,high_level_group,机械制造及自动化专业群,https://jxqc.jvcit.edu.cn/info/1019/1880.htm,verified
HRBZY-260303,HRBZY,high_level_school,智能控制技术专业群,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
HRBZY-530702,HRBZY,high_level_school,跨境电子商务专业群,https://www.hrbzy.edu.cn/_upload/article/files/3f/b6/604a675f4016b4627fecd9371331/d03b19c8-99de-490f-a317-67d580446c3d.pdf,verified
HNYJJ-410115,HNYJJ,high_level_group,绿色食品生产技术专业群,https://jw.hnyjj.org.cn/info/1055/1568.htm,verified
HLJP-460103,HLJP,high_level_group,数控技术专业群,https://www.hljp.edu.cn/info/1277/19094.htm,verified
HICT-440601,HICT,high_level_group,市政工程技术专业群,https://sz.hict.org.cn/article/844/844_1.htm,verified
HNGZY-490202,HNGZY,high_level_group,生物制药技术专业群,https://www.hngzy.edu.cn/swzy/info/1372/5652.htm,verified
HTXY-500601,HTXY,high_level_group,城市轨道交通工程技术专业群,https://www.htxy.net/__local/3/BB/3B/0C87400B40FCC1604417169F382_AF14FF98_B8B652.pdf,verified
STIEI-510401,STIEI,high_level_school,集成电路技术专业群,https://xxgk.stiei.edu.cn/_upload/article/files/37/84/d6da89d4416a91f39b7e1d3378b7/77ae5131-4e9b-41f3-ba10-c152ab54e379.pdf,verified
STIEI-460305,STIEI,high_level_school,工业机器人技术专业群,https://xxgk.stiei.edu.cn/_upload/article/files/37/84/d6da89d4416a91f39b7e1d3378b7/77ae5131-4e9b-41f3-ba10-c152ab54e379.pdf,verified
SADA-550112,SADA,high_level_group,工艺美术品设计专业群,https://edu.sh.gov.cn/zyjy_zjzc/20240326/7d5858d354de477bbaf5de21fcaefc30.html,verified
SPPC-560105,SPPC,high_level_group,数字出版专业群,https://www.sppc.edu.cn/xxgk/2025/1230/c2441a79450/page.htm,verified
AHCME-460305,AHCME,high_level_school,工业机器人技术专业群,https://dq.ahcme.edu.cn/info/1093/5530.htm,verified
AHCME-460702,AHCME,high_level_school,新能源汽车技术专业群,https://www.ahcme.edu.cn/info/1179/1076.htm,verified
ABC-530701,ABC,high_level_group,电子商务专业群,https://www.abc.edu.cn/jwc/report/images/2025-zlnb.pdf,verified
AHSDXY-460702,AHSDXY,high_level_group,新能源汽车技术专业群,https://xxgk.ahsdxy.edu.cn/info/1007/1372.htm,verified
HFVT-590302,HFVT,high_level_group,智慧健康养老服务与管理专业群,https://www.htc.edu.cn/info/1089/101340.htm,verified
WHIT-460701,WHIT,high_level_group,汽车制造与试验技术专业群,https://qcgc.whit.edu.cn/zysz/QCZZYSYJS.htm,verified
HBVTC-460301,HBVTC,high_level_group,机电一体化技术专业群,https://file.hbvtc.net/5b63ef5a7f8b9a84412cea72/202601/20260109104102694_RzVMrING.pdf,verified
FYVTC-510207,FYVTC,high_level_group,信息安全技术应用专业群,https://gckjxy.fyvtc.edu.cn/xyxw/zxdt/547731.html,verified
FJCPC-500301,FJCPC,high_level_school,航海技术专业群,https://www.fjcpc.edu.cn/zs/fjczjtzyxy2026nptgkzszc/list.htm,verified
FJCPC-500201,FJCPC,high_level_school,道路与桥梁工程技术专业群,https://www.fjcpc.edu.cn/zs/fjczjtzyxy2026nptgkzszc/list.htm,verified
LMU-460303,LMU,high_level_group,智能控制技术专业群,https://www.lmu.edu.cn/znzz/info/1070/5672.htm,verified
FJPIT-510102,FJPIT,high_level_group,物联网应用技术专业群,https://www.fjpit.edu.cn/dw/2025/1231/c1857a128914/page.htm,verified
QVTU-330701,QVTU,high_level_group,电子商务专业群,https://www.qvtu.edu.cn/xzbgs/info/1203/1722.htm,verified
FJZZIT-460101,FJZZIT,high_level_group,智能制造专业群,https://www.fjzzit.edu.cn/ztzlcs/zyjycgj26/sjxm/xm17/cgsp/202607/t20260716_91640.htm,verified
FVTI-510209,FVTI,high_level_group,人工智能技术应用专业群,https://www.fvti.cn/2026/0701/c141a161566/pagem.htm,verified
JXPU-460501,JXPU,high_level_school,船舶工程技术专业群,https://cbgcxy.jxpu.edu.cn/zysz/cbgcjszy.htm,verified
JXPU-510101,JXPU,high_level_school,电子信息工程技术专业群,https://xxgcxy.jxpu.edu.cn/xygk.htm,verified
JXCFS-530702,JXCFS,high_level_group,跨境电子商务专业群,https://dsxy.jxcfs.com/info/1063/4353.htm,verified
JXYT-430501,JXYT,high_level_group,有色金属智能冶金技术专业群,https://www.jxyy.edu.cn/info/1052/204491.htm,verified
JXGM-460305,JXGM,high_level_group,工业机器人技术专业群,https://sgbgs.jxgmxy.com/news-list-gyjqrjsgspzyq.html,verified
JXHJ-410201,JXHJ,high_level_group,林业技术专业群,https://jxhjxy.com/upload/zsc/contentmanage/article/pdf/2026/01/22/202601221113088367.pdf,verified
JXXD-510101,JXXD,high_level_group,电子信息工程技术专业群,https://www.jxxdxy.edu.cn/news-show-67261.html,verified
YRCTI-450205,YRCTI,high_level_school,水利水电建筑工程专业群,https://www.yrcti.edu.cn/slgcxy/xygk/xyjj.htm,verified
ZZRVTC-500105,ZZRVTC,high_level_school,铁道机车运用与维护专业群,https://www.zzrvtc.edu.cn/xxgk/list.htm,verified
ZZRVTC-500109,ZZRVTC,high_level_school,高速铁路综合维修技术专业群,https://www.zzrvtc.edu.cn/xxgk/list.htm,verified
XCITC-460301,XCITC,high_level_group,机电一体化技术专业群,https://www.xcitc.edu.cn/info/1032/10264.htm,verified
HNCA-410101,HNCA,high_level_group,种子生产与经营专业群,https://ft.haedu.cn/2026/pages/%E6%B2%B3%E5%8D%97%E5%86%9C%E4%B8%9A%E8%81%8C%E4%B8%9A%E5%AD%A6%E9%99%A2.html?el=1,verified
HNETC-510209,HNETC,high_level_group,人工智能技术应用专业群,https://www.henetc.edu.cn/info/1091/17033.htm,verified
WTU-510109,WTU,high_level_school,智能光电技术应用专业群,https://news.wtc.edu.cn/2025/1230/c5967a132587/page.htm,verified
WTU-510207,WTU,high_level_school,信息安全技术应用专业群,https://news.wtc.edu.cn/2025/1230/c5967a132587/page.htm,verified
WSPC-460501,WSPC,high_level_school,船舶工程技术专业群,https://www.wspc.edu.cn/info/1017/50767.htm,verified
WSPC-500308,WSPC,high_level_school,船舶电子电气技术专业群,https://www.wspc.edu.cn/info/1017/50767.htm,verified
XYVTC-460702,XYVTC,high_level_group,新能源汽车技术专业群,https://www.hbxytc.cn/xxgk/xxjj.htm,verified
WHVCSE-510301,WHVCSE,high_level_group,现代通信技术专业群,https://www.whvcse.edu.cn/zjwr/xxgk.htm,verified
HBTGPT-470201,HBTGPT,high_level_group,应用化工技术专业群,https://www.tgc.edu.cn/content-1020-83248-1.html,verified
WHCP-460704,WHCP,high_level_group,智能网联汽车技术专业群,https://www.whcp.edu.cn/2026/0106/c1404a61764/page.htm,verified
WRU-500108,WRU,high_level_group,动车组检修技术专业群,https://sgjh.wru.edu.cn/,verified
WRU-500111,WRU,high_level_group,铁道通信与信息化技术专业群,https://thxy.wru.edu.cn/info/1009/3990.htm,verified
WHTCC-460609,WHTCC,high_level_group,无人机应用技术专业群,https://znzz.whtcc.edu.cn/info/1181/3075.htm,verified
HBPI-520201,HBPI,high_level_group,护理专业群,https://jwc.hbvtc.edu.cn/info/1051/4077.htm,verified
CSMZ-590302,CSMZ,high_level_school,智慧健康养老服务与管理专业群,https://www.moe.gov.cn/jyb_xwfb/s5147/202512/t20251218_1423785.html,verified
CSMZ-590305,CSMZ,high_level_school,现代殡葬技术与管理专业群,https://job.csmzxy.edu.cn/attachment/csmzxy/ueditor/file/20240228/3457_2024%E6%AF%95%E4%B8%9A%E7%94%9F%E4%BF%A1%E6%81%AF%E6%89%8B%E5%86%8C.pdf,verified
HNAE-460702,HNAE,high_level_school,新能源汽车技术专业群,https://www.tech.net.cn/upfiles/zlbg2023/xx/hunan/hunan%20%2829%29.pdf,verified
HNAE-460603,HNAE,high_level_school,航空发动机制造技术专业群,https://www.tech.net.cn/upfiles/zlbg2023/xx/hunan/hunan%20%2829%29.pdf,verified
HNIVC-460103,HNIVC,high_level_group,数控技术专业群,https://www.hunangy.com/jixie/xygk/xyjs.htm,verified
CAVTC-460601,CAVTC,high_level_group,飞行器数字化制造技术专业群,https://fjdzzyk.cavtc.cn/info/1093/3886.htm,verified
HNBEMC-410101,HNBEMC,high_level_group,种子生产与经营专业群,https://www.tech.net.cn/upfiles/zlbg2023_new/xx/hunan/hunan%20%2833%29.pdf,verified
HNACVC-550125,HNACVC,high_level_group,刺绣设计与工艺专业群,https://www.hnmeida.com.cn/xxgk/info/1041/1432.htm,verified
CSCTC-540202,CSCTC,high_level_group,烹饪工艺与营养专业群,https://www.hncpu.com/__local/4/5B/F1/5F2F1BC6C4DDFAA6CB420F9111D_AEB45EB7_5FB5CD.pdf,verified
HNMMC-550103,HNMMC,high_level_group,数字媒体艺术设计专业群,https://www.hnmmc.cn/2026/0224/c1176a52309/page.htm,verified
HNJTVC-500201,HNJTVC,high_level_group,道路与桥梁工程技术专业群,https://www.hnjtzy.com.cn/info/1551/93471.htm,verified
HNCVTC-490201,HNCVTC,high_level_group,药品生产技术专业群,https://www.hnhgzy.com/zyyswgcxy/xygk/xyjj/index.htm,verified
YYVTC-520201,YYVTC,high_level_group,护理专业群,https://yueyang.gov.cn/zwdt/content_1642708.html,verified
HCEB-540101,HCEB,high_level_school,旅游管理专业群,https://www.hceb.edu.cn/info/1009/113421.htm,verified
HCEB-530503,HCEB,high_level_school,关务与外贸服务专业群,https://www.hceb.edu.cn/info/1009/113421.htm,verified
HVUST-300301,HVUST,high_level_group,航海技术专业群,https://www.hvust.edu.cn/news/newsDetail/27162,verified
CAP-460601,CAP,high_level_school,飞行器数字化制造技术专业群,https://www.cap.edu.cn/__local/5/A8/85/109004796F466EE75BA4EAC132F_AA5B9CD0_706C97.pdf,verified
CAP-500409,CAP,high_level_school,飞机机电设备维修专业群,https://www.cap.edu.cn/__local/5/A8/85/109004796F466EE75BA4EAC132F_AA5B9CD0_706C97.pdf,verified
SCPU-460103,SCPU,high_level_school,数控技术专业群,https://www.tech.net.cn/web/sgjh/zqjxzp/scgczyjsxy.pdf,verified
SCPU-460110,SCPU,high_level_school,智能焊接技术专业群,https://www.tech.net.cn/web/sgjh/zqjxzp/scgczyjsxy.pdf,verified
CDP-510209,CDP,high_level_group,人工智能技术应用专业群,https://www.cdp.edu.cn/__local/8/73/92/844B1C062795A46E81F3F7E2BFB_FC8C4F22_999B88.pdf,verified
SPTC-510205,SPTC,high_level_group,大数据技术专业群,https://www.sptc.edu.cn/__local/5/F0/9F/C30947AFF8635069409C944D05F_26097E8A_22CCE0.pdf,verified
CDTC-480401,CDTC,high_level_group,现代纺织技术专业群,https://www.cdp.edu.cn/__local/6/45/AB/895333058E4408375B26A605700_ED4359C1_16FC79.pdf,verified
SCPCFE-530101,SCPCFE,high_level_group,财税大数据应用专业群,https://www.scpcfe.cn/adm/info/1082/2376.htm,verified
SVTCC-500602,SVTCC,high_level_group,城市轨道车辆应用技术专业群,https://jwc.svtcc.edu.cn/info/1140/1229.htm,verified
LZPC-490105,LZPC,high_level_group,酿酒技术专业群,https://bjxy.lzy.edu.cn/info/1048/3056.htm,verified
SCAC-440304,SCAC,high_level_group,智能建造技术专业群,https://zwhzbx.scac.edu.cn/zlbg-year2025.pdf,verified
CQUET-310207,CQUET,high_level_school,信息安全与管理专业群,https://rgzn.cquet.edu.cn/info/1011/5094.htm,verified
CQUET-310401,CQUET,high_level_school,集成电路工程技术专业群,https://imas.cqcet.edu.cn/info/1073/13650.htm,verified
CQIPC-460101,CQIPC,high_level_school,机械设计与制造专业群,https://jxxy.cqipc.edu.cn/info/1165/8292.htm,verified
CQIPC-460702,CQIPC,high_level_school,新能源汽车技术专业群,https://cl.cqipc.edu.cn/info/1117/7202.htm,verified
CQVIE-460301,CQVIE,high_level_group,机电一体化技术专业群,https://zsxt.cqpue.edu.cn/pub/desktopend/listcolleage,verified
CSWU-590302,CSWU,high_level_group,智慧健康养老服务与管理专业群,https://www.cswu.cn/bmdt_4469/list12.psp,verified
CQEPC-430101,CQEPC,high_level_group,发电厂及电力系统专业群,https://www.cqepc.com.cn/jxgl/zdxk/zysz.htm,verified
CQTBI-510102,CQTBI,high_level_group,物联网应用技术专业群,https://www.cqtbi.edu.cn/info/1497/22507.htm,verified
CQSXZY-410303,CQSXZY,high_level_group,畜牧兽医专业群,https://www.cqsxzy.edu.cn/dwkjxy/xygk/xyjj.htm,verified
CQSDZY-450205,CQSDZY,high_level_group,水利水电建筑工程专业群,https://www.tech.net.cn/upfiles/zlbg2022/xx/chongqing/chongqing%20%2836%29.pdf,verified
CQHT-510304,CQHT,high_level_group,卫星通信与导航技术专业群,https://www.cqht.edu.cn/article_111119584.html,verified
CQJZC-500601,CQJZC,high_level_group,城市轨道交通工程技术专业群,https://www.cqjzc.edu.cn/info/1025/6020.htm,verified
GZCPU-500201,GZCPU,high_level_group,道路桥梁工程技术专业群,https://zsjy.gzjtzy.net/pageshow_1704010428219740000_2305151151583370000.html,verified
GZCPU-500211,GZCPU,high_level_group,汽车运用与维修技术（西部山区智能交通）专业群,https://zsjy.gzjtzy.net/pageshow_1704010428219740000_2305151151583370000.html,verified
GZQY-510205,GZQY,high_level_group,大数据技术专业群,https://www.gzqy.cn/xxgcx/xbgk/xbjj.htm,verified
